beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score
"Desperados Original","Desperados NL","Lager - Pale",5.9,0,,"Tower Bar",Lincoln,Lincolnshire,"United Kingdom",53.227,-0.544297,3,"2015-05-21 22:00:34",https://untappd.com/c/184564115,https://untappd.com/beer/5997,https://untappd.com/brewery/1429,France,Schiltigheim,Bas-Rhin,,,,184564115,5997,1429,,3.15,3.16
"Riders On The Storm","Kelham Island Brewery","Golden Ale",4.5,0,,"Lincoln Drill Hall",Lincoln,Lincolnshire,"United Kingdom",53.2299,-0.537172,,"2015-05-22 14:44:46",https://untappd.com/c/184791928,https://untappd.com/beer/85179,https://untappd.com/brewery/6761,England,Sheffield,"South Yorkshire",,,,184791928,85179,6761,,3.45,3.48
"Damned Deceiver","Horncastle Ales","English Bitter",3.8,0,,"Lincoln Drill Hall",Lincoln,Lincolnshire,"United Kingdom",53.2299,-0.537172,3.25,"2015-05-22 15:12:58",https://untappd.com/c/184793951,https://untappd.com/beer/816152,https://untappd.com/brewery/155497,England,Horncastle,"Lincolnshire, LN9 5DX,",,,,184793951,816152,155497,,3.15,3.6
"Topaz Blonde","S&P Brewery","Golden Ale",3.7,0,,"Lincoln Drill Hall",Lincoln,Lincolnshire,"United Kingdom",53.2299,-0.537172,2.5,"2015-05-22 15:58:58",https://untappd.com/c/184798048,https://untappd.com/beer/1068183,https://untappd.com/brewery/83133,England,Norwich,Norfolk,,,,184798048,1068183,83133,,3.46,3.62
"Wolf Rock","Sharp's Brewery","IPA - Red",4.8,35,"To send me asleep",,,,,,,3.5,"2015-05-22 21:32:49",https://untappd.com/c/184894987,https://untappd.com/beer/799468,https://untappd.com/brewery/1994,England,Rock,Cornwall,,,,184894987,799468,1994,,3.45,3.46
"Bombardier Amber Beer (Glorious English Ale)","Eagle Brewery (formerly Charles Wells)","English Bitter",4.1,35,"Nice, malt . Pretty balanced","Tower Bar",Lincoln,Lincolnshire,"United Kingdom",53.227,-0.544297,2,"2015-05-26 17:31:14",https://untappd.com/c/186650953,https://untappd.com/beer/5101,https://untappd.com/brewery/1348,England,Bedford,Bedfordshire,,,,186650953,5101,1348,,3.44,3.44
"Bombardier Amber Beer (Glorious English Ale)","Eagle Brewery (formerly Charles Wells)","English Bitter",4.1,35,"Two pints its not that bad","Tower Bar",Lincoln,Lincolnshire,"United Kingdom",53.227,-0.544297,2,"2015-05-26 19:06:43",https://untappd.com/c/186661670,https://untappd.com/beer/5101,https://untappd.com/brewery/1348,England,Bedford,Bedfordshire,,,,186661670,5101,1348,,3.44,3.44
"Doom Bar","Sharp's Brewery","English Bitter",4,20,"Good old beer","Tower Bar",Lincoln,Lincolnshire,"United Kingdom",53.227,-0.544297,4,"2015-05-26 19:07:28",https://untappd.com/c/186661783,https://untappd.com/beer/7552,https://untappd.com/brewery/1994,England,Rock,Cornwall,,,,186661783,7552,1994,,3.43,3.43
"Icelandic Arctic Pale Ale","Einstök Ölgerð","Pale Ale - English",5.6,0,"Good taste of cascade. Well balanced nice hoppy taste well balanced malt. Would drink again","Litten Tree",Hampshire,Hampshire,"United Kingdom",50.7224,-1.8684,3.5,"2015-05-28 20:13:16",https://untappd.com/c/187096413,https://untappd.com/beer/99106,https://untappd.com/brewery/18816,Iceland,Akureyri,"Norðurland eystra",,,,187096413,99106,18816,https://untappd.s3.amazonaws.com/photo/2015_05_28/2a4f1c4e924e6b50947267dccc5af509_raw.jpg,3.54,3.54
"FIX Hellas","Olympic Brewery","Lager - Pale",5,0,"Great Greek lager ",,,,,,,2.5,"2015-05-28 21:02:04",https://untappd.com/c/187107159,https://untappd.com/beer/13276,https://untappd.com/brewery/3539,Greece,Ritsona,"Θεσσαλία - Στερεά Ελλάδα",,,,187107159,13276,3539,,2.91,2.92
